data_id,event_id_cnty,latitude,longitude,geo_precision
7096814,IRQ24178,33.9956,44.3498,1
7075696,IRQ24133,37.0921,43.4877,2
7075681,IRQ24179,36.1241,45.1712,1
7075423,IRQ24177,31.8356,47.1448,1
7075691,IRQ24134,37.0921,43.4877,2
7075678,IRQ24174,35.565,45.4329,1
7075631,IRQ24175,34.6248,44.4107,2
7075630,IRQ24171,35.9927,43.2206,1
7075440,IRQ24173,33.0373,40.2826,2
7075439,IRQ24172,31.9929,44.9255,1
7096817,IRQ24176,34.6248,44.4107,2
7096816,IRQ24167,35.4681,44.3922,1
7096815,IRQ24169,34.3454,44.4669,1
7075688,IRQ24128,36.8431,44.3009,2
7075686,IRQ24127,37.0394,43.5175,2
7075680,IRQ24170,35.1778,45.9861,2
7075497,IRQ24131,36.7332,43.8796,2
7075343,IRQ24132,36.9599,44.6039,2
7075342,IRQ24129,36.9599,44.6039,2
7125984,IRQ24927,31.8356,47.1448,1
7096822,IRQ24162,31.7213,46.1102,1
7096821,IRQ24122,34.3454,44.4669,1
7096820,IRQ24166,33.8925,44.7097,1
7096819,IRQ24163,34.3454,44.4669,2
7096818,IRQ24164,33.8925,44.7097,1
7075695,IRQ24126,37.1683,43.2709,2
7075692,IRQ24125,37.3128,43.0203,2
7075428,IRQ24158,30.5769,47.355,1
7075426,IRQ24160,31.9626,44.6008,1
7075422,IRQ24159,31.8356,47.1448,1
7075421,IRQ24168,32.5979,44.0165,1
7075420,IRQ24161,31.8356,47.1448,1
7075401,IRQ24165,33.8925,44.7097,1
7126019,IRQ24929,35.269,43.9108,2
7125987,IRQ24928,35.0746,43.9867,1
7096827,IRQ24151,33.9503,44.7948,1
7096826,IRQ24155,33.4266,43.9347,2
7096825,IRQ24156,32.5791,39.7828,2
7096824,IRQ24157,33.4346,38.9206,2
7096823,IRQ24147,31.7213,46.1102,1
7075685,IRQ24124,36.9191,44.5604,1
7075679,IRQ24152,35.565,45.4329,1
7075500,IRQ24130,36.736,44.3903,2
7075431,IRQ24149,30.367,47.6092,1
7075427,IRQ24148,31.3059,45.2799,1
7075425,IRQ24150,31.8356,47.1448,1
7075409,IRQ24154,33.4346,38.9206,2
7075407,IRQ24153,34.4327,45.1639,1
7096828,IRQ24121,33.9289,44.7761,2
7075684,IRQ24123,37.3128,43.0203,2
7068732,IRQ24120,33.7243,44.5345,1
7068690,IRQ24081,37.3128,43.0203,2
7068689,IRQ24080,37.3128,43.0203,2
7126028,IRQ24930,36.1643,43.2592,2
7068741,IRQ24119,33.8297,44.6736,1
7068688,IRQ24079,37.0394,43.5175,2
7096830,IRQ24146,36.335,43.1189,3
7096829,IRQ24144,32.2809,42.2086,2
7068914,IRQ24076,36.8431,44.3009,2
7068913,IRQ24077,37.0921,43.4877,2
7068909,IRQ24078,37.1683,43.2709,2
7068895,IRQ24117,35.565,45.4329,1
7068894,IRQ24118,35.4681,44.3922,1
7068726,IRQ24115,33.7243,44.5345,1
7068724,IRQ24116,33.9798,44.9362,1
7096834,IRQ24145,32.8736,44.1939,2
7096833,IRQ24142,31.7213,46.1102,1
